Color,pH,Potted,lon,lat
Pink,6.8,No,-73.95413592140095,40.67469240112516
Purple,5.5,No,-73.95420449286324,40.674780732687196
Blue,4.5,No,-73.95540337409074,40.67494840059936
Pink,6.5,No,-73.9553654851068,40.67494610174015
Blue,4.5,No,-73.95547017953,40.674769826414376
Pink,7,Yes,-73.95556979816408,40.67498252197157
Blue,5,No,-73.9616487394864,40.6763209190004
Pink,6.5,No,-73.96619396547261,40.67686459732835
Pink,7,Yes,-73.96661017434752,40.67728468691317
Purple,5.5,No,-73.9680896348465,40.67742637430973
Blue,5,No,-73.9679664465855,40.67739772082132
Purple,6,No,-73.96776315043924,40.67736420384077
Blue,4.5,No,-73.96709580874222,40.67722343233686
Blue,5,No,-73.96643288651393,40.67709774323072
Blue,5,No,-73.96938044318685,40.6778844913359
Blue,4.5,No,-73.97075582190637,40.6781801634821
Blue,5,No,-73.9713081393446,40.67831157290402
Blue,5,No,-73.9698136333347,40.677736654770484
Purple,5.5,No,-73.97677791325161,40.680015787008045
Blue,4.5,No,-73.976420531379,40.67967084554164
Purple,5,No,-73.9762797445814,40.6796051422028
Pink,6.5,Yes,-73.97108069111745,40.67830553637896
